sport,player,stat,line,opponent,game_date,risk_type
WNBA,Kahleah Copper,PTS,19.5,CHI,2026-07-07,NORMAL
WNBA,Alyssa Thomas,PTS,14.5,CHI,2026-07-07,NORMAL
WNBA,Kamilla Cardoso,PTS,15.5,PHX,2026-07-07,NORMAL
WNBA,Sydney Taylor,PTS,14.5,PHX,2026-07-07,NORMAL
WNBA,Valeriane Ayayi,PTS,12.5,CHI,2026-07-07,NORMAL
WNBA,DeWanna Bonner,PTS,11.5,CHI,2026-07-07,NORMAL
WNBA,Skylar Diggins,PTS,11,PHX,2026-07-07,NORMAL
WNBA,Azurá Stevens,PTS,11.5,PHX,2026-07-07,NORMAL
WNBA,Kahleah Copper,PTS,17.5,CHI,2026-07-07,GOBLIN
WNBA,Alyssa Thomas,PTS,11.5,CHI,2026-07-07,GOBLIN
WNBA,Kamilla Cardoso,PTS,11.5,PHX,2026-07-07,GOBLIN
WNBA,Sydney Taylor,PTS,11.5,PHX,2026-07-07,GOBLIN
WNBA,Valeriane Ayayi,PTS,11.5,CHI,2026-07-07,GOBLIN
WNBA,DeWanna Bonner,PTS,9.5,CHI,2026-07-07,GOBLIN
WNBA,Skylar Diggins,PTS,9.5,PHX,2026-07-07,GOBLIN
WNBA,Azurá Stevens,PTS,9.5,PHX,2026-07-07,GOBLIN
WNBA,Kahleah Copper,PTS,14.5,CHI,2026-07-07,GOBLIN
WNBA,Alyssa Thomas,PTS,24.5,CHI,2026-07-07,DEMON
WNBA,Kamilla Cardoso,PTS,9.5,PHX,2026-07-07,GOBLIN
WNBA,Sydney Taylor,PTS,9.5,PHX,2026-07-07,GOBLIN
WNBA,Valeriane Ayayi,PTS,9.5,CHI,2026-07-07,GOBLIN
WNBA,DeWanna Bonner,PTS,7.5,CHI,2026-07-07,GOBLIN
WNBA,Skylar Diggins,PTS,7.5,PHX,2026-07-07,GOBLIN
WNBA,Azurá Stevens,PTS,7.5,PHX,2026-07-07,GOBLIN
WNBA,Kahleah Copper,PTS,29.5,CHI,2026-07-07,DEMON
WNBA,Alyssa Thomas,PTS,19.5,CHI,2026-07-07,DEMON
WNBA,Kamilla Cardoso,PTS,24.5,PHX,2026-07-07,DEMON
WNBA,Sydney Taylor,PTS,24.5,PHX,2026-07-07,DEMON
WNBA,Valeriane Ayayi,PTS,19.5,CHI,2026-07-07,DEMON
WNBA,DeWanna Bonner,PTS,19.5,CHI,2026-07-07,DEMON
WNBA,Skylar Diggins,PTS,19.5,PHX,2026-07-07,DEMON
WNBA,Azurá Stevens,PTS,19.5,PHX,2026-07-07,DEMON
WNBA,Kahleah Copper,PTS,24.5,CHI,2026-07-07,DEMON
WNBA,Alyssa Thomas,PTS,17.5,CHI,2026-07-07,DEMON
WNBA,Kamilla Cardoso,PTS,19.5,PHX,2026-07-07,DEMON
WNBA,Sydney Taylor,PTS,19.5,PHX,2026-07-07,DEMON
WNBA,Valeriane Ayayi,PTS,17.5,CHI,2026-07-07,DEMON
WNBA,DeWanna Bonner,PTS,17.5,CHI,2026-07-07,DEMON
WNBA,Skylar Diggins,PTS,17.5,PHX,2026-07-07,DEMON
WNBA,Azurá Stevens,PTS,17.5,PHX,2026-07-07,DEMON
WNBA,Kahleah Copper,PTS,19.5,CHI,2026-07-07,NORMAL
WNBA,Alyssa Thomas,PTS,14.5,CHI,2026-07-07,NORMAL
WNBA,Kamilla Cardoso,PTS,17.5,PHX,2026-07-07,DEMON
WNBA,Sydney Taylor,PTS,17.5,PHX,2026-07-07,DEMON
WNBA,Valeriane Ayayi,PTS,14.5,CHI,2026-07-07,DEMON
WNBA,DeWanna Bonner,PTS,14.5,CHI,2026-07-07,DEMON
WNBA,Skylar Diggins,PTS,11,PHX,2026-07-07,NORMAL
WNBA,Azurá Stevens,PTS,14.5,PHX,2026-07-07,DEMON
